Job_Title,Job_Category,Skill,Job_Count
Customer Data Scientist/Sales Engineer,Data Scientist,hadoop,1
Customer Data Scientist/Sales Engineer,Data Scientist,tensor,1
Data Scientist/ML Engineer,Data Scientist,mongo,1
Sr. Data Scientist,Data Scientist,Python,1
Sr. Data Scientist,Data Scientist,SQL,1
Data Scientist/ML Engineer,Data Scientist,hadoop,1
Data Scientist - Bioinformatics,Data Scientist,Python,1
Customer Data Scientist/Sales Engineer,Data Scientist,Python,1
Customer Data Scientist/Sales Engineer,Data Scientist,spark,1
Customer Data Scientist/Sales Engineer,Data Scientist,aws,1
Customer Data Scientist/Sales Engineer,Data Scientist,excel,1
Customer Data Scientist/Sales Engineer,Data Scientist,keras,1
Customer Data Scientist/Sales Engineer,Data Scientist,scikit,1
Senior Data Scientist,Data Scientist,mongo,1
Digital Health Data Scientist,Data Scientist,excel,1
Clinical Data Scientist,Data Scientist,aws,1
Clinical Data Scientist,Data Scientist,excel,1
Data Scientist / Machine Learning Expert,Data Scientist,Python,1
Data Scientist / Machine Learning Expert,Data Scientist,pytorch,1
Data Scientist / Machine Learning Expert,Data Scientist,scikit,1
Lead Data Scientist,Data Scientist,sas,1
Lead Data Scientist,Data Scientist,tableau,1
Digital Health Data Scientist,Data Scientist,aws,1
Digital Health Data Scientist,Data Scientist,Python,1
Data Scientist - Quantitative,Data Scientist,mongo,1
Data Scientist - Quantitative,Data Scientist,SQL,1
Healthcare Data Scientist,Data Scientist,Python,1
Staff Data Scientist - Technology,Data Scientist,SQL,1
Staff Data Scientist - Technology,Data Scientist,hadoop,1
Customer Data Scientist,Data Scientist,Python,1
College Hire - Data Scientist - Open to December 2019 Graduates,Data Scientist,tableau,1
Customer Data Scientist,Data Scientist,spark,1
Customer Data Scientist,Data Scientist,excel,1
Customer Data Scientist,Data Scientist,hadoop,1
Data Scientist - Health Data Analytics,Data Scientist,SQL,1
Senior Data Scientist / Machine Learning,Data Scientist,excel,1
Data Scientist - Quantitative,Data Scientist,Python,1
Data Scientist - Quantitative,Data Scientist,aws,1
Data Scientist - Quantitative,Data Scientist,excel,1
Customer Data Scientist,Data Scientist,aws,1
"Data Scientist, Office of Data Science",Data Scientist,Python,1
Data Science Analyst,Data Scientist,Python,1
Data Science Analyst,Data Scientist,excel,1
R&D Sr Data Scientist,Data Scientist,aws,1
R&D Sr Data Scientist,Data Scientist,SQL,1
R&D Sr Data Scientist,Data Scientist,scikit,1
R&D Sr Data Scientist,Data Scientist,tensor,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,Python,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,spark,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,aws,1
R&D Sr Data Scientist,Data Scientist,spark,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,excel,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,scikit,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,tensor,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,hadoop,1
Customer Data Scientist/Sales Engineer (Bay,Data Scientist,keras,1
Lead Data Scientist,Data Scientist,hadoop,1
Data Scientist SR,Data Scientist,hadoop,1
Data Scientist SR,Data Scientist,spark,1
Data Science Analyst,Data Scientist,tableau,1
Senior Risk Data Scientist,Data Scientist,SQL,1
Senior Risk Data Scientist,Data Scientist,sas,1
Data Scientist in Artificial Intelligence Early Career,Data Scientist,pytorch,1
Data Scientist in Artificial Intelligence Early Career,Data Scientist,tensor,1
Data Scientist - Research,Data Scientist,Python,1
Data Scientist - Research,Data Scientist,SQL,1
Data Scientist SR,Data Scientist,SQL,1
Data Scientist - Research,Data Scientist,tableau,1
"Director, Data Science",Data Scientist,Python,1
"Director, Data Science",Data Scientist,excel,1
"Director, Data Science",Data Scientist,SQL,1
"Director, Data Science",Data Scientist,sas,1
Data Scientist SR,Data Scientist,Python,1
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Data Scientist,Python,1
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Data Scientist,excel,1
Principal Data Scientist (Computational Chemistry),Data Scientist,tensor,1
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Data Scientist,spark,1
Principal Data Scientist (Computational Chemistry),Data Scientist,scikit,1
Principal Data Scientist (Computational Chemistry),Data Scientist,keras,1
PL Actuarial-Lead Data Scientist,Data Scientist,sas,1
Principal Data Scientist (Computational Chemistry),Data Scientist,pytorch,1
Principal Data Scientist (Computational Chemistry),Data Scientist,Python,1
Principal Data Scientist (Computational Chemistry),Data Scientist,aws,1
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist,Python,1
Analytics Manager - Data Mart,Data Scientist,tableau,1
Analytics Manager - Data Mart,Data Scientist,SQL,1
Senior Research Statistician- Data Scientist,Data Scientist,sas,1
Associate Data Scientist/Computer Scientist,Data Scientist,Python,1
Associate Data Scientist/Computer Scientist,Data Scientist,spark,1
Associate Data Scientist/Computer Scientist,Data Scientist,hadoop,1
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist,spark,1
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist,excel,1
"Risk and Analytics IT, Data Scientist",Data Scientist,tableau,1
"Risk and Analytics IT, Data Scientist",Data Scientist,Business_Intelligence,1
"Data Scientist, Senior",Data Scientist,Python,1
Analytics Manager,Data Scientist,excel,1
Analytics Manager,Data Scientist,SQL,1
Analytics Manager,Data Scientist,tableau,1
Principal Data Scientist with over 10 years experience,Data Scientist,Python,1
Principal Data Scientist with over 10 years experience,Data Scientist,aws,1
Principal Data Scientist with over 10 years experience,Data Scientist,excel,1
Principal Data Scientist with over 10 years experience,Data Scientist,tableau,1
Sr. Data Scientist II,Data Scientist,Python,1
"Data Scientist, Senior",Data Scientist,aws,1
"Sr. Data Scientist, Cyber-Security LT Contract",Data Scientist,aws,1
"Risk and Analytics IT, Data Scientist",Data Scientist,SQL,1
"Data Scientist, Senior",Data Scientist,SQL,1
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Data Scientist,SQL,1
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Data Scientist,hadoop,1
Senior Data Scientist,Data Scientist,flink,1
"Data Scientist (Actuary, FSA or ASA)",Data Scientist,Python,1
"Data Scientist (Actuary, FSA or ASA)",Data Scientist,excel,1
"Data Scientist (Actuary, FSA or ASA)",Data Scientist,SQL,1
"Data Scientist (Actuary, FSA or ASA)",Data Scientist,tableau,1
Staff Data Scientist,Data Scientist,Python,1
Staff Data Scientist,Data Scientist,aws,1
Staff Data Scientist,Data Scientist,SQL,1
Staff Data Scientist,Data Scientist,hadoop,1
"Risk and Analytics IT, Data Scientist",Data Scientist,Python,1
Sr. Data Scientist II,Data Scientist,aws,1
Sr. Data Scientist II,Data Scientist,spark,1
PL Actuarial-Lead Data Scientist,Data Scientist,Python,1
PL Actuarial-Lead Data Scientist,Data Scientist,excel,1
"VP, Data Science",Data Scientist,tensor,1
"VP, Data Science",Data Scientist,keras,1
"VP, Data Science",Data Scientist,SQL,1
Sr. Data Scientist II,Data Scientist,SQL,1
PL Actuarial-Lead Data Scientist,Data Scientist,SQL,1
"VP, Data Science",Data Scientist,excel,1
